epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,561.901,0.81852,0.63642,1.15927,0.71839,0.72638,0.76498,0.40321,1.71876,1.02833,1.77285,0.000523586,0.000523586,0.000523586
66,569.944,0.80433,0.67226,1.17308,0.68546,0.81254,0.82016,0.4115,1.73204,1.05228,1.75509,0.000509438,0.000509438,0.000509438
67,578.047,0.81252,0.65894,1.16632,0.75631,0.71974,0.77804,0.40044,1.68712,1.06944,1.75312,0.000495291,0.000495291,0.000495291
68,586.056,0.79319,0.64503,1.14532,0.80067,0.77417,0.84559,0.41484,1.64397,1.00736,1.70453,0.000481144,0.000481144,0.000481144
69,593.844,0.80387,0.65138,1.16938,0.79025,0.81884,0.83285,0.42394,1.67631,1.03924,1.7397,0.000466997,0.000466997,0.000466997
70,601.522,0.79492,0.64924,1.16676,0.89303,0.78048,0.83938,0.41404,1.70508,1.07486,1.79825,0.00045285,0.00045285,0.00045285
71,609.31,0.79895,0.64985,1.15799,0.77764,0.79557,0.82803,0.39946,1.71271,1.08058,1.79235,0.000438703,0.000438703,0.000438703
72,617.128,0.81553,0.64882,1.15802,0.69621,0.75278,0.78051,0.39389,1.72031,1.0881,1.78999,0.000424556,0.000424556,0.000424556
73,624.99,0.76472,0.60925,1.13113,0.79351,0.72706,0.79946,0.42169,1.72701,1.05148,1.7984,0.000410409,0.000410409,0.000410409
74,632.686,0.74907,0.62053,1.12756,0.88278,0.74935,0.87578,0.44016,1.72624,1.04585,1.78547,0.000396262,0.000396262,0.000396262
75,640.49,0.76316,0.61824,1.12134,0.80734,0.83296,0.85682,0.44122,1.67061,0.95156,1.71759,0.000382115,0.000382115,0.000382115
76,648.305,0.74851,0.60518,1.11901,0.82861,0.88468,0.89507,0.47245,1.62619,0.88706,1.70106,0.000367967,0.000367967,0.000367967
77,656.012,0.73699,0.59606,1.13168,0.79179,0.86037,0.86216,0.45691,1.63638,0.94196,1.69116,0.00035382,0.00035382,0.00035382
78,663.949,0.75437,0.60995,1.13582,0.85764,0.85575,0.87328,0.45876,1.64199,0.93687,1.70563,0.000339673,0.000339673,0.000339673
79,671.926,0.74234,0.58975,1.11199,0.81231,0.83579,0.86926,0.47769,1.58364,0.9833,1.63131,0.000325526,0.000325526,0.000325526
80,679.68,0.75339,0.59262,1.10859,0.82977,0.80188,0.83181,0.43894,1.62714,0.97121,1.68514,0.000311379,0.000311379,0.000311379
81,687.422,0.71213,0.57974,1.10593,0.84578,0.73524,0.82919,0.43363,1.67059,0.98792,1.72425,0.000297232,0.000297232,0.000297232
82,695.198,0.73318,0.59326,1.11969,0.8418,0.79305,0.87368,0.45524,1.6492,0.97414,1.70481,0.000283085,0.000283085,0.000283085
83,702.876,0.72843,0.59152,1.12236,0.83612,0.74484,0.84778,0.44876,1.67018,0.99487,1.7259,0.000268938,0.000268938,0.000268938
84,710.72,0.70103,0.56157,1.09938,0.80457,0.83481,0.87609,0.47354,1.60111,0.92645,1.67865,0.000254791,0.000254791,0.000254791
85,718.49,0.70029,0.56155,1.10506,0.78528,0.82084,0.86442,0.4588,1.60293,0.99234,1.67531,0.000240644,0.000240644,0.000240644
86,726.215,0.71365,0.57791,1.10048,0.83015,0.83292,0.88811,0.47101,1.64112,0.96203,1.72652,0.000226497,0.000226497,0.000226497
